candidate,timestep,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
5,26,35.86703,42.29521,-41.83150,82.43247,-14.31504,2.39646
5,27,37.27626,43.11094,-43.73286,82.62485,-12.59089,2.34747
5,28,36.38192,44.91517,-44.64500,80.56533,-13.52834,2.29368
5,29,36.99934,45.23308,-43.52642,80.28852,-12.70478,2.06480
5,30,37.90288,43.51508,-41.59719,81.06078,-14.35044,2.43437
5,31,37.70123,44.81106,-43.51439,80.85699,-15.42081,2.44105
5,32,37.87094,48.01130,-45.34467,80.65331,-14.23944,2.39927
5,33,37.89823,47.23654,-45.67807,79.23177,-14.77369,1.92843
5,34,37.50022,47.97242,-45.92914,80.43756,-13.38531,2.31649
5,35,37.18266,50.64447,-51.20684,81.41193,-14.84546,2.40385
5,36,36.71568,50.34700,-50.48981,79.85751,-14.20165,2.22099
5,37,37.97271,50.23223,-49.47274,79.20177,-14.52114,2.25019
5,38,38.38842,52.33809,-52.13210,78.09020,-14.40898,2.66413
5,39,39.28941,52.03137,-50.79219,74.61662,-14.31982,2.62269
5,40,40.55430,54.04605,-52.27938,74.42082,-13.62219,2.67961
5,41,40.56576,53.47129,-49.97780,72.95924,-13.62880,2.74248
5,42,40.18785,52.33877,-47.16703,73.81346,-15.03214,5.55457
5,43,39.41869,52.51552,-47.45072,74.34732,-14.61824,2.66273
5,44,37.95975,51.83470,-50.37255,74.23481,-14.23486,3.39918
5,45,38.02678,52.68721,-48.22504,74.18961,-14.12475,3.10903
5,46,38.05820,52.37480,-47.73873,75.49336,-14.73296,5.52488
5,47,36.98861,48.91846,-44.73410,75.40420,-13.52701,7.05443
5,48,39.40186,51.66360,-47.35645,74.68558,-15.09325,4.01121
5,49,38.30731,50.81195,-42.21911,76.42382,-15.12170,10.32168
6,0,31.66807,20.97556,-34.03159,90.02650,-17.45291,2.23339
6,1,33.37208,21.80188,-32.06633,88.94032,-15.28331,2.15696
6,2,33.38150,21.98779,-38.35225,90.17184,-18.28943,1.89697
6,3,32.94886,22.56051,-37.19473,89.73423,-15.04762,2.08972
6,4,31.57700,25.57666,-39.88118,89.63171,-17.41617,2.32659
6,5,32.70916,27.31250,-39.94011,89.35367,-17.11597,2.43359
6,6,32.54745,30.12603,-43.06166,90.11176,-18.77295,2.34473
6,7,32.14599,32.09720,-45.78470,87.96463,-18.69788,2.19398
6,8,31.32343,30.24092,-39.77694,89.13048,-20.48388,2.12154
6,9,31.01778,32.69209,-39.36283,88.87093,-21.75228,2.08618
6,10,31.46004,32.08514,-39.02398,87.50740,-22.04430,1.88546
6,11,32.35283,36.96034,-41.48911,87.07561,-21.23078,2.13707
6,12,32.37115,37.40422,-44.38203,86.86440,-19.46527,2.10882
6,13,32.07762,35.84529,-43.30027,85.62390,-19.66310,2.23837
6,14,31.98876,35.44950,-42.80212,85.90064,-20.22307,1.86477
6,15,32.57461,39.97524,-46.25730,85.68491,-20.09184,2.10119
6,16,33.26269,41.84542,-46.32248,86.32137,-19.38551,2.19037
6,17,32.06414,43.05659,-48.38858,86.28862,-20.79865,2.08264
6,18,31.15004,42.66072,-50.28643,86.37227,-19.69450,2.34174
6,19,30.60033,41.73282,-47.28737,87.70090,-19.66174,2.24333
6,20,31.85203,44.59540,-47.24727,84.99794,-17.92958,2.15618
6,21,30.37990,45.98761,-52.00737,85.22501,-18.63166,2.47865
6,22,31.66897,48.55683,-53.11042,85.70229,-20.15676,2.43730
6,23,32.97326,48.88565,-52.64085,86.94582,-19.81059,2.40356
6,24,33.09810,47.74588,-49.48090,84.39861,-18.45987,2.62527
6,25,32.53405,49.44744,-51.59386,84.04479,-19.59683,2.46420
6,26,33.99071,48.78273,-51.74187,83.23680,-18.40353,2.48138
6,27,32.96479,47.72037,-50.84176,82.79402,-19.33483,2.33148
6,28,32.94133,48.44339,-52.76887,81.42357,-20.39840,2.42928
6,29,32.45528,50.38253,-49.13572,83.94115,-21.06386,2.43352
